txId1,txId2,label
43464822,175402745,0
6736974,225089859,1
191392372,191392360,1
37232705,399862533,0
34654428,36664827,1
8931887,121358068,1
175509181,245801422,0
6850536,279488125,0
8845642,43153492,0
134526684,226703193,1
225285669,225285287,1
224976548,225335973,1
32477875,376047852,0
81286986,312184110,0
4853436,268849675,0
87026597,241496106,0
175103984,236123655,0
86475481,232022773,0
245465090,247448688,1
339106443,339106445,1
43520554,241552555,0
223977454,224249338,1
234666670,234666965,1
68530017,68530161,1
15478009,15484146,1
312497511,295695765,1
4303686,96279188,0
86668127,86850670,1
191460943,246056427,0
244688164,245430583,0
86815194,223878629,0
87873413,231995699,0
339572003,339171623,1
179023752,244363200,0
3730830,8988252,0
68452354,68804943,1
15333790,15333797,1
230530231,230530299,1
111174830,230530336,0
94193352,224764409,0
224253680,288108052,0
3583614,175059886,0
87750859,87751250,1
226381365,246045060,0
43068105,179036877,0
245274458,245280159,1
42654278,232007253,0
191390264,191380067,1
175147957,175149893,1
191603035,191603489,1
94152642,94621528,1
87627008,87627020,1
43492871,43492868,1
87823643,339486779,0
230451740,279498250,0
94631812,94628333,1
179059306,224204168,0
94476833,94476829,1
339099053,339099054,1
61283334,43123512,1
43141093,234227163,0
243778381,245734137,0
245732146,314798747,0
8959824,231996121,0
226724775,225103663,1
234193028,234640206,1
309939193,309942301,1
94060061,144526715,0
58594270,130898261,0
96281823,96281878,1
94618831,94615360,1
16142734,43004063,0
224215075,225345522,1
10465668,43579195,0
245498502,245498506,1
244672646,244687669,1
121468580,40397525,1
339070579,339070575,1
230419189,230518409,1
64665222,236119671,0
90454970,346153135,0
15905017,245476782,0
94478356,183067199,0
234555755,242197563,0
13395614,43076478,0
31663613,231253425,1
68532683,94505215,0
225689529,225914183,1
94373981,94373979,1
90406434,191727842,1
3405622,231017514,1
64605833,203221795,1
309959965,312904011,1
68707386,94125566,0
42990550,160974967,0
244642111,78213055,1
190894932,232046504,0
9693866,224765942,0
190953004,190953100,1
23707413,121711609,0
19549433,2431950,1
230351534,43560505,1
94558793,96563694,1
245481182,245481526,1
2641289,191593718,0
224736465,225015214,1
35477259,54895491,0
121711606,339827431,0
244614108,238247336,1
7825099,43316713,1
99228276,99228502,1
121454301,230966618,0
224188916,230333498,0
94034891,232046855,0
119417031,314868040,0
230338346,230529170,1
43063782,43063783,1
182998894,225867281,0
175431408,232471941,0
234442451,234445407,1
81098936,245765815,0
16272377,48278483,0
36043534,78184937,1
234381260,234381257,1
189998969,189998987,1
189305695,346826746,0
43480393,87823689,0
279524742,88606642,1
234574802,234574626,1
5529999,279484152,1
309960795,266427481,1
2819887,37187798,0
19549433,94557589,0
223978981,143208768,1
190826178,190826159,1
94444608,94444681,1
15420404,232460340,0
76864772,245756435,0
5320917,175491390,0
212493347,339555783,1
230647320,232438397,1
36891722,223878029,0
339111963,339111968,1
96403067,309990682,0
16726193,230659151,0
13520733,225703989,0
68593228,191416942,0
99879079,244792227,0
43117096,94175517,0
42625867,230427460,0
224763984,224763990,1
49419392,68612688,1
225278791,279460808,0
43096749,227330989,0
86644063,3405851,1
230593831,43560505,1
175098571,179039997,1
245752973,245752980,1
146581654,224726314,0
24851221,86629246,0
190830348,190829768,1
33973914,175493383,0
48280220,68458413,0
230528715,230528710,1
86858854,87797869,1
37281187,245739996,0
230575202,230571453,1
94119397,314789831,0
234574795,234574626,1
225320684,225320677,1
11628391,174757639,0
312830053,314479342,1
225715275,225711361,1
225687042,225872014,1
190968071,226677840,0
68624231,234682345,0
3402276,238237395,0
2240973,94499859,0
96365994,232431901,0
35699969,121699171,0
117763585,88523392,1
339649589,339160485,1
174774253,179111806,0
239825457,309975058,0
39637893,43128652,1
1582950,244614040,0
121298028,145114685,0
191447925,191434276,1
86616713,87657476,1
225370375,225369320,1
190454429,280108209,0
234435612,312887145,0
104512292,245439836,1
42966285,224980488,0
68806101,68806137,1
94373976,94551532,1
42986403,42986419,1
94056648,94144492,1
12116187,1435389,1
146041472,339648605,0
139854705,339058866,0
46125838,241493133,0
339115940,339260132,1
51426540,87695502,1
121655480,71668499,1
94012665,234245844,0
88618556,245656374,0
226464294,226586261,1
43545312,232679753,0
106443868,225334690,1
230459322,230459327,1
223133003,339057925,0
48338610,189208328,0
94156048,94572205,1
9051013,339057909,0
37214317,43101291,1
241565333,241565336,1
87080396,179038269,0
48326265,68699845,0
80052647,230468684,0
86611225,86974693,1
224716019,224716017,1
179001118,179069333,1
43005270,238511176,0
175453536,175777525,1
43458236,43458691,1
335143624,362172179,0
223962793,339067971,0
8843623,87823772,0
224296668,310150575,0
222796526,234380924,0
43395903,43569021,1
230519268,230519262,1
165598447,190866257,0
94146376,94306780,1
9005882,121261378,1
94407928,235817149,0
229352331,234639784,0
192033041,245682794,0
234151426,234151585,1
83994277,346380749,0
234856877,309946326,0
243647440,401164716,0
230440541,234592038,0
190949086,186607560,1
312900702,310495348,1
16182237,224989473,0
3468644,86620592,1
50620034,232673945,0
230593172,312899262,0
244716128,244716130,1
225309885,225686718,1
8841846,9000927,1
15012776,225338409,0
137912001,175497457,0
86700606,245418619,0
43074276,43074288,1
43316713,184031660,0
230937012,175334903,1
121664200,121879716,1
42670162,94520164,0
121261118,191116692,0
125495355,232349075,0
92544893,178866756,0
312868727,314479343,1
121810160,121810161,1
179084655,279453730,0
224309666,226675313,1
244310226,401342036,0
8988244,224246428,0
339733850,339733854,1
230658525,232450626,1
10872451,43320984,0
16209228,179070525,0
339095262,339502544,1
94676186,98789180,1
244278079,339154403,0
175761224,219277709,1
93995240,121488852,0
43177431,68806101,1
230465376,230465367,1
224765199,105866214,1
339561128,339561332,1
67908055,339089398,1
190943322,232431858,0
199742501,245424165,0
87762615,238237383,0
48060755,50196024,0
15862101,43066222,0
94306654,225926275,0
17833082,85850555,0
223876063,232351352,0
184323211,130932227,1
175415652,190060366,0
66558323,309985900,1
234172232,246046859,0
9157527,94314185,0
339099817,339259982,1
87658538,6907828,1
121538586,121539957,1
225275430,230537136,0
191382898,30549576,1
94025774,94025775,1
21777481,16057479,1
246145479,246145482,1
72262056,234378122,0
94424207,94424210,1
244620475,279037744,0
94409746,232040323,0
68608494,399963884,0
15998265,241534010,0
43126447,185915034,0
94187645,94610653,1
179032615,179032513,1
182335609,225291124,0
338601862,399669745,0
224241432,225045523,1
105937507,246126432,1
33112293,205921701,0
225715282,225711361,1
310472147,310492705,1
279103012,279171987,1
232346254,183403053,1
42741539,68805482,1
241487016,310100960,0
246045089,246045101,1
224977087,183051013,1
151255921,225328438,1
204985372,246043783,0
39617083,223991862,0
43433785,179138105,0
244688634,245232373,1
71683445,84296031,0
190822020,245472975,0
42667111,94020714,0
86553073,86553088,1
246308155,246421641,1
68458107,230541999,0
206550923,339264938,1
9000934,191183068,0
244730003,244730263,1
94316508,241539112,0
190853156,190853159,1
226434407,279484140,0
43111944,43111955,1
42961794,310471609,0
190999361,190999356,1
43072969,43072974,1
230767337,219838865,1
19148474,232926141,0
175422920,175766363,1
234890884,234890810,1
203138848,244300463,0
226668097,179112629,1
22837919,95476637,0
118271426,175526377,0
94193982,100656358,0
234852729,102464835,1
94122578,94215888,0
190433065,314822130,0
94644287,94640561,1
241535006,239456953,1
190967639,224655145,0
224987278,225859160,1
175431742,175431744,1
191102902,95609163,1
37023552,43077167,0
230427094,230468693,1
244327968,245372580,1
94334464,94524704,1
71114845,104090298,1
245906933,339096349,0
239623562,241494947,0
312161485,309934774,1
